X,Study_ID,Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Study_Design,Species_tree,Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Minimum_tracking_period..days.,Mean_tracking_period..days.,Mean_fixes,Minimum_fixes,Impact_fire_type,Impact_fire_season,Impact_fire_characteristics,Impact_fire_size_ha,Maximum_treatment_burn_age_days,Data_source,Mean_Fire,Upper_Fire,Lower_Fire,Mean_Unburned,Upper_Unburned,Lower_Unburned,CI_Type,Comments,Burned_n,Unburned_n,ReptTraits.Max_body_mass_g,AvoNet.Mean_mass_g,BodyMass.g,Phy.body_mass_g,BodyMassComments,biome_no,biome_name,lon,lat,veg_str,climate_zone,code,name,Climate,veg_climate
111,184,NA,Thompson1999,PhD Thesis,1993,United States of America,CI,Meleagris_gallopavo_merriami,Meleagris gallopavo merriami,Linear Distance,Straight line distance (km) between winter home range centres and nest site,Straight line distance (km) between winter home range centres and nest site,subadult females,NA,NA,Spring/Winter,Spring/Winter,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Summer,"Burned created mosaic of burned and unburned habitat, burn severity light to severe.",20920,1278,"Table 24, pg. 59",10500,18600,2400,5100,7600,2600,SD,"Control treatment partly confounded by logging for fuel reduction (437 ha of 2150 ha control area in the 10 years preceeding the study). Long Pines is the control site, and Ekalaka Hills is the impact site.",15,8,NA,NA,5791.4,NA,From Meleagris gallopavo in AvoNet,8,"Temperate grasslands, savannas, and shrublands",-105.998565272602,45.5006621025776,open,7,BSk,"Arid, steppe, cold",Arid,open_Arid
36,55,10.1644/08-MAMM-A-349.1,Lacki2009,Journal of Mammalogy,2009,United States of America,BA,Myotis_septentrionalis,Myotis septentrionalis,Home range,Home range size,Home range size 95% (estimated using Hawth's Tools v3.27 in ArcGIS),Females,Summer,Spring/Summer,NA,NA,VHF,NA,6.3 days,Not provided,Not provided,Planned,Spring,"Two burn units. Both drip torch ignition, mosaic of burned (ridges and upper slopes) and unburned (lower slopes, drainage lines) area within fire. Flame height 0.2 -2.5 m, generally <1m Pg. 1166.",620,122,"Foraging behaviour section of results, paragraph 1 pg. 1169",72.3,78.5,66.1,60.2,74.3,46.1,SE,"Some temporal confounding, with before tracking occuring largely in June/July 2006, after tracking occurred April-September 2007",9,5,NA,NA,7.5,7.5,,4,Temperate broadleaf and mixed forests,-83.65,37.85,closed,14,Cfa,"Temperate, no dry season, hot summer",Temperate,closed_Temperate
10,16,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BACI,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Home range,Home range size,"Mean home range size, 95% local convex hull","Adult deer, 16 females",Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,"Section 3.1 of results, paragraph 2  pg. 15688",7,12,2,6,15,-3,SD,"BACI data converted to CI by subtracting before from after, and using SD from the before groups, per Morris 2008. Sample sizes also taken from before for each goup. Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.",11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",-123.06667,39,closed,8,Csa,"Temperate, dry summer, hot summer",Temperate,closed_Temperate
11,17,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,CI,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Linear Distance,Displacement,"Mean displacement during fire event and 3 day period post fire, calculated as follows "" identified the point during the fire and the 3-day post-
fire period that was farthest from the pre-fire LoCoH home range
centroid and calculated the Euclidean distance between points"" pg. 15687","Adult deer, mostly females",Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,"Section 3.1 of results, paragraph 1 pg. 15687-15688",1170,2280,60,250,360,140,SD,Centriod displacement during the passage of fire and three day period post fire. Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.,13,5,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",-123.06667,39,closed,8,Csa,"Temperate, dry summer, hot summer",Temperate,closed_Temperate
12,18,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,CI,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Linear Distance,Home Range Centroid Displacement,"Mean centroid displacement post fire, using home range centroids.",Adult females,Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,"Section 3.1 of results, paragraph 3, pg. 15688",140.32,208.29,72.35,119.22,227.59,10.85,SD,Displacement of two male deer excluded from extraction as they were only within the burned area (ie no control males). Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.,11,5,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",-123.06667,39,closed,8,Csa,"Temperate, dry summer, hot summer",Temperate,closed_Temperate
13,19,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Linear Distance,Daily distance moved,Mean dailly distance moved,"Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,Table 1 pg. 15689,2150,2520,1780,1470,1730,1210,SD,Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",-123.06667,39,closed,8,Csa,"Temperate, dry summer, hot summer",Temperate,closed_Temperate
14,20,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Tortuosity,Straightness Index,"Direction of effect: lower values = greater tortuosity, higher values = less tortusity. Straightness Index from 0 to 1, with 1 perfectly straight","Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,Table 1 pg. 15689,0.021,0.041,0.001,0.011,0.021,0.001,SD,"May or may not be of value, depends if other authors are using the same straightness index (authors cite Benhamou, 2004). Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.",11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",-123.06667,39,closed,8,Csa,"Temperate, dry summer, hot summer",Temperate,closed_Temperate
15,21,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Tortuosity,Turn Angle Correlation,"Direction of effect: lower values = greater tortuosity, higher values = less tortusity. Turn Angle Correlation, where high correlation indicates directed movement and low correlation indicates undirected movement","Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,Table 1 pg. 15689,0.5202,0.5502,0.4902,0.515,0.535,0.495,SD,"May or may not be of value, depends if other authors are using turn angle correlation as measure of tortuosity. Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.",11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",-123.06667,39,closed,8,Csa,"Temperate, dry summer, hot summer",Temperate,closed_Temperate
16,22,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Other space use - Time,"Mean residence time ""number of hours spent inside
a given radius"" pg. 15686",Mean residence time,"Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,Table 1 pg. 15689,16.8,27.4,6.2,10,14.2,5.8,SD,Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",-123.06667,39,closed,8,Csa,"Temperate, dry summer, hot summer",Temperate,closed_Temperate
17,24,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Other space use - Time,"Mean time to return ""hours an animal spends before returning to
a given radius"" pg. 15686","Mean time to return ""hours an animal spends before returning to
a given radius"" pg. 15687","Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,Table 1 pg. 15689,55.5,68.2,42.8,64.1,80.2,48,SD,Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",-123.06667,39,closed,8,Csa,"Temperate, dry summer, hot summer",Temperate,closed_Temperate
37,56,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,BACI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,Spring,Spring,Spring,Spring,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",90,147,33,32,120,-56,SD,"BACI data converted to CI by subtracting before from after, and using SD from the before groups, per Morris 2008. Sample sizes also taken from before for each goup",9,9,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,-81.16666667,26.2,open,2,Am,"Tropical, monsoon",Tropical,open_Tropical
38,57,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,NA,NA,Spring/Summer,Spring/Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",363,430,296,263,314,212,SE,,9,10,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,-81.16666667,26.2,open,2,Am,"Tropical, monsoon",Tropical,open_Tropical
39,58,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,NA,NA,Summer,Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",412,454,370,307,357,257,SE,,10,9,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,-81.16666667,26.2,open,2,Am,"Tropical, monsoon",Tropical,open_Tropical
40,59,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,BACI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Females,Spring,Spring,NA,NA,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 167",62,103.11,20.89,3,29.53,-23.53,SD,"BACI data converted to CI by subtracting before from after, and using SD from the before groups, per Morris 2008. Sample sizes also taken from before for each goup",10,10,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,-81.16666667,26.2,open,2,Am,"Tropical, monsoon",Tropical,open_Tropical
41,60,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Females,NA,NA,Spring/Summer,Spring/Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 167",123,141,105,73,80,66,SE,,9,40,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,-81.16666667,26.2,open,2,Am,"Tropical, monsoon",Tropical,open_Tropical
42,61,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Females,NA,NA,Summer,Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 167",114,131,97,78,84,72,SE,,8,39,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,-81.16666667,26.2,open,2,Am,"Tropical, monsoon",Tropical,open_Tropical
43,62,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,BACI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance - Speed,Movement rate,Movement rate meters/hour,Males,Spring,Spring,NA,NA,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",18.62,38.92,-1.68,6.17,25.47,-13.13,SD,"BACI data converted to CI by subtracting before from after, and using SD from the before groups, per Morris 2008. Sample sizes also taken from before for each goupData extracted from figure 4 using Webplot digitizer.",9,9,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,-81.16666667,26.2,open,2,Am,"Tropical, monsoon",Tropical,open_Tropical
44,63,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance - Speed,Movement rate,Movement rate meters/hour,Males,NA,NA,Spring/Summer,Spring/Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",94.48,100.96,88,65.38,72.55,58.21,SE,Data extracted from figure 4 using Webplot digitizer.,9,10,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,-81.16666667,26.2,open,2,Am,"Tropical, monsoon",Tropical,open_Tropical
45,64,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance - Speed,Movement rate,Movement rate meters/hour,Males,NA,NA,Summer,Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",95.31,102.21,88.41,72,77.52,66.48,SE,Data extracted from figure 4 using Webplot digitizer.,10,9,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,-81.16666667,26.2,open,2,Am,"Tropical, monsoon",Tropical,open_Tropical
46,65,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,BACI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance - Speed,Movement rate,Movement rate meters/hour,Females,Spring,Spring,NA,NA,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",19,60.79,-22.79,5.73,29.15,-17.69,SD,"BACI data converted to CI by subtracting before from after, and using SD from the before groups, per Morris 2008. Sample sizes also taken from before for each goup.Data extracted from figure 4 using Webplot digitizer.",44,44,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,-81.16666667,26.2,open,2,Am,"Tropical, monsoon",Tropical,open_Tropical
47,66,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance - Speed,Movement rate,Movement rate meters/hour,Females,NA,NA,Spring/Summer,Spring/Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",79.85,86.82,72.88,49.86,53.11,46.61,SE,Data extracted from figure 4 using Webplot digitizer.,9,40,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,-81.16666667,26.2,open,2,Am,"Tropical, monsoon",Tropical,open_Tropical
48,67,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance - Speed,Movement rate,Movement rate meters/hour,Females,NA,NA,Summer,Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",74.21,81.47,66.95,50.33,54.15,46.51,SE,Data extracted from figure 4 using Webplot digitizer.,8,39,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,-81.16666667,26.2,open,2,Am,"Tropical, monsoon",Tropical,open_Tropical
28,43,10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,BA,Ovis_canadensis,Ovis canadensis,Other space use - Proportion,Proportion of relocations,Porportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,NA,NA,Not provided,Not provided,Planned,Spring,mosaic burn pattern,1260,821,"Table 3, pg. 90",0.14,0.16,0.12,0.03,0.04,0.02,SE,May be seasonally confounded,11,11,NA,NA,74644.9,74644.9,,6,Boreal forests/taiga,-147.70444444,64.37583333,closed,26,Dfb,"Cold, no dry season, warm summer",Cold,closed_Cold
29,44,10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,BA,Ovis_canadensis,Ovis canadensis,Other space use - Proportion,Proportion of relocations,Porportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,NA,NA,Not provided,Not provided,Planned,Spring,mosaic burn pattern,1260,821,"Table 3, pg. 91",0.14,0.16,0.12,0.06,0.07,0.05,SE,May be seasonally confounded,10,10,NA,NA,74644.9,74644.9,,6,Boreal forests/taiga,-147.70444444,64.37583333,closed,26,Dfb,"Cold, no dry season, warm summer",Cold,closed_Cold
30,45,10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,BA,Ovis_canadensis,Ovis canadensis,Other space use - Proportion,Proportion of relocations,Porportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,NA,NA,Not provided,Not provided,Wildfire,Summer,"consumed most of the shrub and grass layer, no mosaic patterning",1260,821,"Table 3, pg. 92",0.23,0.32,0.14,0.24,0.32,0.16,SE,May be seasonally confounded,9,9,NA,NA,74644.9,74644.9,,6,Boreal forests/taiga,-147.70444444,64.37583333,closed,26,Dfb,"Cold, no dry season, warm summer",Cold,closed_Cold
9,15,10.1071/WR12110,Hope2012,Wildlife Research,2012,Australia,BA,Perameles_nasuta,Perameles nasuta,Home range,Home range size,"Mean home range size, 95% fixed kernel density",Adult males and females,Autumn,Winter,NA,NA,VHF,NA,NA,24.3,9,Planned,Autumn,"""Low intensity (typical flame height 0.3-2m)"" pg. 732. Localised flare ups sorching canopy upto 15 m. Patchy, imcomplete combustion of leaf litter ~30% of burn area.",24.6,91,Table 3,7.2,9,5.4,6.4,8.3,4.5,SE,"Mean home range, SEM mean relocations and minimum relocations calculated by reviwer from data in Table 3. Includes home range data from 2 individuals prefire with low number of relocations (authors note data insufficent) and 1 individual post fire also noted as insufficent data.",5,5,NA,NA,975,975,,4,Temperate broadleaf and mixed forests,151.15111,-33.68722,closed,14,Cfa,"Temperate, no dry season, hot summer",Temperate,closed_Temperate
67,113,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,BA,Puma_concolor,Puma concolor,Other space use - Proportion,Mean proportion of locations within the burn perimeter before and after fire,Mean proportion of locations within the burn perimeter before and after fire,"Males and females, adults and subadults",All seasons,All seasons,NA,NA,GPS,NA,NA,Not provided,Not provided,Wildfire,Autumn,Not provided,39234,456,"Table S1, Supplementary Material",0.21,0.29,0.13,0.36,0.46,0.26,SE,"Combined male and female, as well sub adult and adult, as most individuals showed a decrease in proportion used after fire. Although, two females increased post fire.",9,9,NA,NA,51600,51600,,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",-118.76666667,34.08333333,closed,9,Csb,"Temperate, dry summer, warm summer",Temperate,closed_Temperate
