Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Study_Design,Species_tree,Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Impact_fire_type,Impact_fire_size_ha,Maximum_treatment_burn_age_days,Data_source,Mean_Fire,Upper_Fire,Lower_Fire,Mean_Unburned,Upper_Unburned,Lower_Unburned,CI_Type,Burned_n,Unburned_n,ReptTraits.Max_body_mass_g,AvoNet.Mean_mass_g,BodyMass.g,Phy.body_mass_g,BodyMassComments,biome_no,biome_name,class_ncbi
10.1644/08-MAMM-A-349.1,Lacki2009,Journal of Mammalogy,2009,United States of America,BA,Myotis_septentrionalis,Myotis septentrionalis,Home range,Home range size,Home range size 95% (estimated using Hawth's Tools v3.27 in ArcGIS),Females,Summer,Spring/Summer,NA,NA,VHF,Planned,620,122,"Foraging behaviour section of results, paragraph 1 pg. 1169",72.3,78.5,66.1,60.2,74.3,46.1,SE,9,5,NA,NA,7.5,7.5,,4,Temperate broadleaf and mixed forests,Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BACI,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Home range,Home range size,"Mean home range size, 95% local convex hull","Adult deer, 16 females",Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,"Section 3.1 of results, paragraph 2  pg. 15688",7,12,2,6,15,-3,SD,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,CI,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Linear Distance,Displacement,"Mean displacement during fire event and 3 day period post fire, calculated as follows "" identified the point during the fire and the 3-day post-
fire period that was farthest from the pre-fire LoCoH home range
centroid and calculated the Euclidean distance between points"" pg. 15687","Adult deer, mostly females",Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,"Section 3.1 of results, paragraph 1 pg. 15687-15688",1170,2280,60,250,360,140,SD,13,5,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,CI,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Linear Distance,Home Range Centroid Displacement,"Mean centroid displacement post fire, using home range centroids.",Adult females,Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,"Section 3.1 of results, paragraph 3, pg. 15688",140.32,208.29,72.35,119.22,227.59,10.85,SD,11,5,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Linear Distance,Daily distance moved,Mean daily distance moved,"Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,Table 1 pg. 15689,2150,2520,1780,1470,1730,1210,SD,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Tortuosity,Straightness Index,"Direction of effect: lower values = greater tortuosity, higher values = less tortuosity. Straightness Index from 0 to 1, with 1 perfectly straight","Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,Table 1 pg. 15689,0.021,0.041,0.001,0.011,0.021,0.001,SD,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Tortuosity,Turn Angle Correlation,"Direction of effect: lower values = greater tortuosity, higher values = less tortuosity. Turn Angle Correlation, where high correlation indicates directed movement and low correlation indicates undirected movement","Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,Table 1 pg. 15689,0.5202,0.5502,0.4902,0.515,0.535,0.495,SD,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Other space use,"Mean residence time ""number of hours spent inside
a given radius"" pg. 15686",Mean residence time,"Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,Table 1 pg. 15689,16.8,27.4,6.2,10,14.2,5.8,SD,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Other space use,"Mean time to return ""hours an animal spends before returning to
a given radius"" pg. 15686","Mean time to return ""hours an animal spends before returning to
a given radius"" pg. 15687","Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,Table 1 pg. 15689,55.5,68.2,42.8,64.1,80.2,48,SD,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,BACI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,Spring,Spring,Spring,Spring,GPS,Wildfire,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",90,147,33,32,120,-56,SD,9,9,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,NA,NA,Spring/Summer,Spring/Summer,GPS,Wildfire,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",363,430,296,263,314,212,SE,9,10,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,NA,NA,Summer,Summer,GPS,Wildfire,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",412,454,370,307,357,257,SE,10,9,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,BACI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Females,Spring,Spring,NA,NA,GPS,Wildfire,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 167",62,103.11,20.89,3,29.53,-23.53,SD,10,10,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Females,NA,NA,Spring/Summer,Spring/Summer,GPS,Wildfire,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 167",123,141,105,73,80,66,SE,9,40,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Females,NA,NA,Summer,Summer,GPS,Wildfire,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 167",114,131,97,78,84,72,SE,8,39,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,BACI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance,Movement rate,Movement rate meters/hour,Males,Spring,Spring,NA,NA,GPS,Wildfire,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",18.62,38.92,-1.68,6.17,25.47,-13.13,SD,9,9,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance,Movement rate,Movement rate meters/hour,Males,NA,NA,Spring/Summer,Spring/Summer,GPS,Wildfire,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",94.48,100.96,88,65.38,72.55,58.21,SE,9,10,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance,Movement rate,Movement rate meters/hour,Males,NA,NA,Summer,Summer,GPS,Wildfire,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",95.31,102.21,88.41,72,77.52,66.48,SE,10,9,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,BACI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance,Movement rate,Movement rate meters/hour,Females,Spring,Spring,NA,NA,GPS,Wildfire,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",19,60.79,-22.79,5.73,29.15,-17.69,SD,44,44,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance,Movement rate,Movement rate meters/hour,Females,NA,NA,Spring/Summer,Spring/Summer,GPS,Wildfire,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",79.85,86.82,72.88,49.86,53.11,46.61,SE,9,40,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance,Movement rate,Movement rate meters/hour,Females,NA,NA,Summer,Summer,GPS,Wildfire,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",74.21,81.47,66.95,50.33,54.15,46.51,SE,8,39,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,BA,Ovis_canadensis,Ovis canadensis,Other space use,Proportion of relocations,Proportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,Planned,1260,821,"Table 3, pg. 90",0.14,0.16,0.12,0.03,0.04,0.02,SE,11,11,NA,NA,74644.9,74644.9,,6,Boreal forests/taiga,Mammalia
10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,BA,Ovis_canadensis,Ovis canadensis,Other space use,Proportion of relocations,Proportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,Planned,1260,821,"Table 3, pg. 91",0.14,0.16,0.12,0.06,0.07,0.05,SE,10,10,NA,NA,74644.9,74644.9,,6,Boreal forests/taiga,Mammalia
10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,BA,Ovis_canadensis,Ovis canadensis,Other space use,Proportion of relocations,Proportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,Wildfire,1260,821,"Table 3, pg. 92",0.23,0.32,0.14,0.24,0.32,0.16,SE,9,9,NA,NA,74644.9,74644.9,,6,Boreal forests/taiga,Mammalia
10.1071/WR12110,Hope2012,Wildlife Research,2012,Australia,BA,Perameles_nasuta,Perameles nasuta,Home range,Home range size,"Mean home range size, 95% fixed kernel density",Adult males and females,Autumn,Winter,NA,NA,VHF,Planned,24.6,91,Table 3,7.2,9,5.4,6.4,8.3,4.5,SE,5,5,NA,NA,975,975,,4,Temperate broadleaf and mixed forests,Mammalia
10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,BA,Puma_concolor,Puma concolor,Other space use,Mean proportion of locations within the burn perimeter before and after fire,Mean proportion of locations within the burn perimeter before and after fire,"Males and females, adults and subadults",All seasons,All seasons,NA,NA,GPS,Wildfire,39234,456,"Table S1, Supplementary Material",0.21,0.29,0.13,0.36,0.46,0.26,SE,9,9,NA,NA,51600,51600,,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,BA,Puma_concolor,Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,Adult males,Summer/Autum,Autumn/Winter,NA,NA,GPS,Wildfire,39234,91,"Figure 3E, sample sizes Table s3",18410,22400,14420,20390,25050,15730,CI,3,2,NA,NA,51600,51600,,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,BA,Puma_concolor,Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,subadult males,Summer/Autum,Autumn/Winter,NA,NA,GPS,Wildfire,39234,122,"Figure 3E, sample sizes Table s3",16950,22850,11050,14720,18390,11050,CI,3,4,NA,NA,51600,51600,,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,BA,Puma_concolor,Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,subadult females,Summer/Autum,Autumn/Winter,NA,NA,GPS,Wildfire,39234,183,"Figure 3E, sample sizes Table s3",9570,14490,3110,7910,15490,3500,CI,3,2,NA,NA,51600,51600,,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,BA,Puma_concolor,Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,Adult females,Summer/Autum,Autumn/Winter,NA,NA,GPS,Wildfire,39234,152,"Figure 3E, sample sizes Table s3",7830,11520,4440,6230,10750,30,CI,5,2,NA,NA,51600,51600,,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,BA,Puma_concolor,Puma concolor,Linear Distance,"Mean monthly distance travelled, predicted using Mixed effects meta-regression",Mean monthly distance travelled,"Males and females, adults and subadults",Winter,Autumn,NA,NA,GPS,Wildfire,39234,304,,349400,397900,300900,254200,302700,254200,CI,17,9,NA,NA,51600,51600,,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1139/Z06-186,Dalerum2007,Canadian Journal of Zoology,2007,Canada,BA,Rangifer_tarandus_caribou,Rangifer tarandus caribou,Home range,Home range size,Mean annual home range size 95% fixed kernel,Largely female in Red Earth region,Annual (November - October),Annual (November - October),NA,NA,VHF,Wildfire,180000,1095,"Figure 2, pg. 29",62709,73463,51955,68156,82402,53910,SE,62,71,NA,NA,86034,NA,From Rangifer tarandus in Phylacine,6,Boreal forests/taiga,Mammalia
10.1139/Z06-186,Dalerum2007,Canadian Journal of Zoology,2007,Canada,BA,Rangifer_tarandus_caribou,Rangifer tarandus caribou,Home range,Home range size,Mean annual home range size 95% fixed kernel,Largely female in Caribou Mountains Region,Not provided,Annual (November - October),NA,NA,VHF,Wildfire,170000,2190,"Figure 2, pg. 29",142458,166760,106424,140922,176956,104888,SE,91,15,NA,NA,86034,NA,From Rangifer tarandus in Phylacine,6,Boreal forests/taiga,Mammalia
10.1139/Z06-186,Dalerum2007,Canadian Journal of Zoology,2007,Canada,BA,Rangifer_tarandus_caribou,Rangifer tarandus caribou,Home range,Home range size,Mean annual home range size 95% fixed kernel,Largely female in the East Side Athabasca River Region,Annual (November - October),Annual (November - October),NA,NA,VHF,Wildfire,140000,2190,"Figure 2, pg. 29",29469,36592,22346,26676,33380,19972,SE,134,72,NA,NA,86034,NA,From Rangifer tarandus in Phylacine,6,Boreal forests/taiga,Mammalia
NA,Michaud2017,Masters Thesis,2017,United States of America,CI,Regulus_calendula,Regulus calendula,Home range,"Home range size, 90% kernel density","Home range size, 90% kernel density",After second year males,NA,NA,Winter/Spring,Winter/Spring,Visual,Planned,663,5475,"Demographics section of Results, pg. 40 paragraph 1",5.43,6.5,4.36,3.22,3.54,2.9,SE,11,7,NA,6.2,6.2,NA,,5,Temperate coniferous forests,Aves
NA,Michaud2017,Masters Thesis,2017,United States of America,CI,Regulus_calendula,Regulus calendula,Other space use,Mean proportion of time spent foraging,Mean proportion of time spent foraging,After second year males,NA,NA,Winter/Spring,Winter/Spring,Visual,Planned,Not provided,5475,"Demographics section of Results, pg. 40 paragraph 1 and Table 11, pg. 77",0.949,0.9673,0.9307,0.9419,0.9569,0.9269,SD,11,5,NA,6.2,6.2,NA,,5,Temperate coniferous forests,Aves
10.4404/hystrix–11447,Gwinn2016,Hystrix,2016,United States of America,CI,Sciurus_aberti,Sciurus aberti,Home range,Home range size,Home range size 95% fixed kernel,Not provided,NA,NA,Spring/Summer,Spring/Summer,VHF,Wildfire,Not provided,425,,5.07,6.89,3.25,8.4,11.07,5.73,SE,6,6,NA,NA,624,624,,3,Tropical and subtropical coniferous forests,Mammalia
10.1644/10-MAMM-A-133.1,Pasch2011,Journal of Mammalogy,2011,United States of America,CI,Sciurus_nayaritensis,Sciurus nayaritensis,Home range,Core Area,Core area size,Adults,NA,NA,All seasons,All seasons,VHF,Planned,260,8395,"Results section, paragraph 3, pg. 230",2.9,3.9,1.9,6.6,7.8,5.4,SE,12,8,NA,NA,697,697,,13,Deserts and xeric shrublands,Mammalia
10.1644/10-MAMM-A-133.1,Pasch2011,Journal of Mammalogy,2011,United States of America,CI,Sciurus_nayaritensis,Sciurus nayaritensis,Linear Distance,Mean daily distance travelled,Mean daily distance travelled,Adults,NA,NA,All seasons,All seasons,VHF,Planned,260,8395,"Results section, paragraph 3, pg. 230",212.3,251.1,173.5,335.7,377.5,293.9,SE,12,8,NA,NA,697,697,,13,Deserts and xeric shrublands,Mammalia
10.1093/forestscience/56.1.131,Hurteau2010,Forest Science,2010,United States of America,CI,Sialia_mexicana,Sialia mexicana,Home range,Home range size,Home range size 90% fixed kernel,Males,NA,NA,Summer,Summer,VHF,Planned,Not provided,1460,"Figure 4, pg. 136",3.27,3.6,2.94,2.26,2.63,1.89,SE,7,7,NA,26.4,26.4,NA,,5,Temperate coniferous forests,Aves
10.1644/13-MAMM-A-187,Kelt2014,Journal of Mammalogy,2014,United States of America,BA,Sylvilagus_bachmani,Sylvilagus bachmani,Home range,Home range size,"Mean home range size, estimated using fixed kernel methods.","Males and females, 11 of each",Spring/Summer,Summer/Autumn,NA,NA,VHF,Wildfire,588,90,"Paragraph 2 of results, pg 519",1.92,3.25,0.59,1.49,2.3,0.68,SE,22,22,NA,NA,643.3,643.3,,8,"Temperate grasslands, savannas, and shrublands",Mammalia
10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,CI,Tamiasciurus_hudsonicus_grahamensis,Tamiasciurus hudsonicus grahamensis,Home range,Home range size,Home range size 95% fixed kernel,Males and females,NA,NA,Summer/Autumn,Summer/Autumn,VHF,Both,16.4,122,"Table 1, pg. 221",1.48,1.8,1.16,2.01,2.4,1.62,SE,8,22,NA,NA,201.2,NA,From Tamiasciurus hudsonicus in Phylacine,13,Deserts and xeric shrublands,Mammalia
10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,CI,Tamiasciurus_hudsonicus_grahamensis,Tamiasciurus hudsonicus grahamensis,Home range,Home range size,Home range size 95% fixed kernel,Males and females,NA,NA,Spring/Summer,Spring/Summer,VHF,Both,16.4,365,"Table 1, pg. 221",0.62,0.87,0.37,3.21,3.76,2.66,SE,5,15,NA,NA,201.2,NA,From Tamiasciurus hudsonicus in Phylacine,13,Deserts and xeric shrublands,Mammalia
10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,BACI,Tamiasciurus_hudsonicus_grahamensis,Tamiasciurus hudsonicus grahamensis,Linear Distance,Distance,Distance (m) between middens and nests,Males and females,Spring/Summer,Summer,Summer,Summer,VHF,Both,16.4,30,"Figure 2, pg. 222",-5.1,24.6,-34.8,12.9,88.57,-62.77,SD,8,8,NA,NA,201.2,NA,From Tamiasciurus hudsonicus in Phylacine,13,Deserts and xeric shrublands,Mammalia
10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,CI,Tamiasciurus_hudsonicus_grahamensis,Tamiasciurus hudsonicus grahamensis,Linear Distance,Distance,Distance (m) between middens and nests,Males and females,NA,NA,Autumn,Autumn,VHF,Both,16.4,122,"Figure 2, pg. 222",8,10.6,5.4,56.2,68.7,43.7,SE,5,25,NA,NA,201.2,NA,From Tamiasciurus hudsonicus in Phylacine,13,Deserts and xeric shrublands,Mammalia
10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,CI,Tamiasciurus_hudsonicus_grahamensis,Tamiasciurus hudsonicus grahamensis,Linear Distance,Distance,Distance (m) between middens and nests,Males and females,NA,NA,Summer,Summer,VHF,Both,16.4,356,"Figure 2, pg. 222",54.5,84.7,24.3,55.8,66.9,44.7,SE,5,15,NA,NA,201.2,NA,From Tamiasciurus hudsonicus in Phylacine,13,Deserts and xeric shrublands,Mammalia
:10.1111/jzo.12732,Roe2020,Journal of Zoology,2020,United States of America,CI,Terrapene_carolina_carolina,Terrapene carolina,Home range,Home range size,Home range size 95% kernel density,Females,NA,NA,All seasons,All seasons,VHF,Planned,Not provided,Not provided,Table 1. pg. 75,18.4,21.5,15.3,32.8,41.1,24.5,SE,14,14,1093,NA,1093,NA,,5,Temperate coniferous forests,NA
:10.1111/jzo.12732,Roe2020,Journal of Zoology,2020,United States of America,CI,Terrapene_carolina_carolina,Terrapene carolina,Home range,Home range size,Home range size 95% kernel density,Males,NA,NA,All seasons,All seasons,VHF,Planned,Not provided,Not provided,Table 1. pg. 76,9.9,11.7,8.1,17.2,22.2,12.2,SE,14,15,1093,NA,1093,NA,,5,Temperate coniferous forests,NA
10.1002/jwmg.21920,Harris2020,Journal of Wildlife Management,2020,United States of America,CI,Terrapene_carolina_carolina,Terrapene carolina carolina,Home range,Home range size,Home range size 95% kernel density,adults,NA,NA,All seasons,All seasons,VHF,Both,600,730,"Means and SEM Table 3, pg. 1390. Sample size from Spatial Ecology section of results, para 2, pg. 1390",7.1,9.3,4.9,8.9,13.1,4.7,SE,34,66,1093,NA,1093,NA,,4,Temperate broadleaf and mixed forests,NA
10.1002/jwmg.21920,Harris2020,Journal of Wildlife Management,2020,United States of America,BA,Terrapene_carolina_carolina,Terrapene carolina carolina,Home range,Home range size,Home range size 95% kernel density,adults,All seasons,All seasons,NA,NA,VHF,Both,600,730,"Spatial Ecology section of results, para 2, pg. 1390",4.4,6.1,2.7,5.1,7.1,3.1,SE,19,19,1093,NA,1093,NA,,4,Temperate broadleaf and mixed forests,NA
10.1002/jwmg.21920,Harris2020,Journal of Wildlife Management,2020,United States of America,CI,Terrapene_carolina_carolina,Terrapene carolina carolina,Tortuosity,Sinuosity,"Opposite direction of effect to straightness index and tortuosity. Mean sinuosity index, where 1 = straight, <1 = less straight",adults,NA,NA,All seasons,All seasons,VHF,Both,600,730,"Spatial Ecology section of results, para 2, pg. 1390",0.15,0.17,0.13,0.19,0.21,0.17,SE,34,66,1093,NA,1093,NA,,4,Temperate broadleaf and mixed forests,NA
10.1071/WF15204,Berry2016,International Journal of Wildland Fire,2016,Australia,CI,Trichosurus_cunninghami,Trichosurus cunninghami,Home range,Home range size,"Home range size, measured as 99% isopleth of VHF fixes",Adult males and females,NA,NA,Summer/Autumn,Summer/Autumn,VHF,Wildfire,74000,1825,"Sample sizes from Appendix 1, Means and CI from Fig. 2, pg. 1295",11.07,26.23,-4.09,29.58,44.77,14.39,CI,6,6,NA,NA,3270,3270,,4,Temperate broadleaf and mixed forests,Mammalia
10.1002/ece3.8416,Huysman2021,Ecology and Evolution,2021,United States of America,BA,Tyto_furcata,Tyto furcata,Linear Distance,Distance between centroid and fire scar,Distance between centroid and fire scar,Females,Winter,Winter,NA,NA,GPS,Wildfire,60000,417,"Results section, para 4, pg. 18221 and 18222",1692,2036,1348,2864,3225,2503,SE,15,17,NA,NA,403.3,NA,From Tyto alba in AvoNet,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Aves
10.1002/ece3.8416,Huysman2021,Ecology and Evolution,2021,United States of America,BA,Tyto_furcata,Tyto furcata,Linear Distance,Distance between centroid and fire scar,Distance between centroid and fire scar,Females,Winter,Winter,NA,NA,GPS,Wildfire,60000,417,"Results section, para 4, pg. 18221 and 18222",619,883,355,223,333,113,SE,15,17,NA,NA,403.3,NA,From Tyto alba in AvoNet,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Aves
10.1002/jwmg.22182,Crabb2022,Journal of Wildlife Management,2022,United States of America,BA,Ursus_americanus,Ursus americanus,Home range,Home range size,Home range size autocorrelated kernel density,Males,All seasons,All seasons,NA,NA,GPS,Wildfire,217000,730,"Final paragraph of results, pg. 12",151000,289800,12200,207600,295400,119900,CI,5,21,NA,NA,99949.4,99949.4,,5,Temperate coniferous forests,Mammalia
10.2193/0091-7648(2004)032[0928:EOWOBB]2.0.CO;2,Cunningham2004,Wildlife Society Bulletin,2004,United States of America,CI,Ursus_americanus,Ursus americanus,Home range,annual home range size,"Annual home range size, minimum convex polygon",Adult males,NA,NA,All seasons,All seasons,VHF,Wildfire,23700,60989,"Figure 2, pg. 933 and Fig 3, pg. 934",6590,7929,5251,5164,5776,4552,SD,8,5,NA,NA,99949.4,99949.4,,5,Temperate coniferous forests,Mammalia
10.1002/jwmg.22182,Crabb2022,Journal of Wildlife Management,2022,United States of America,"Estimated by reviewer, as the approximate mid point of the inset map provided in Figure 1",Ursus_americanus,Ursus americanus,Home range,Home range size,Home range size autocorrelated kernel density,Females,All seasons,All seasons,NA,NA,GPS,Wildfire,217000,730,"Final paragraph of results, pg. 12",18900,0,443000,163700,59700,267600,CI,12,17,NA,NA,99949.4,99949.4,,5,Temperate coniferous forests,Mammalia
